Site_Name,Latitude,Longitude,Category,Country,Region
"ESMA Museum and Site of Memory – Former Clandestine Centre of Detention, Torture and Extermination",-34.53664167,-58.46533333,Cultural,Argentina,Latin America and the Caribbean
Monasteries of Haghpat and Sanahin,41.095,44.71028,Cultural,Armenia,Europe and North America
Monastery of Geghard and the Upper Azat Valley,40.140439,44.818525,Cultural,Armenia,Europe and North America
Cathedral and Churches of Echmiatsin and the Archaeological Site of Zvartnots,40.15931,44.29514,Cultural,Armenia,Europe and North America
Kakadu National Park,-12.83333333,132.8333333,Mixed,Australia,Asia and the Pacific
Great Barrier Reef,-18.28611111,147.7,Natural,Australia,Asia and the Pacific
Sydney Opera House,-33.85666667,151.2152778,Cultural,Australia,Asia and the Pacific
Willandra Lakes Region,-34.0,143.0,Mixed,Australia,Asia and the Pacific
Tasmanian Wilderness,-43.11847222,146.2305556,Mixed,Australia,Asia and the Pacific
Lord Howe Island Group,-31.56555556,159.0883333,Natural,Australia,Asia and the Pacific
Gondwana Rainforests of Australia,-28.25,150.05,Natural,Australia,Asia and the Pacific
Ulu<U>r</U>u-Kata Tju<U>t</U>a National Park,-25.33333333,131.0,Mixed,Australia,Asia and the Pacific
Wet Tropics of Queensland,-15.65,144.9666667,Natural,Australia,Asia and the Pacific
Heard and McDonald Islands,-53.1,73.5,Natural,Australia,Asia and the Pacific
"Shark Bay, Western Australia",-25.48611111,113.4361111,Natural,Australia,Asia and the Pacific
Macquarie Island,-54.59472222,158.8955556,Natural,Australia,Asia and the Pacific
K’gari (Fraser Island),-25.21666667,153.1333333,Natural,Australia,Asia and the Pacific
Australian Fossil Mammal Sites (Riversleigh / Naracoorte),-19.08333333,138.7166667,Natural,Australia,Asia and the Pacific
Greater Blue Mountains Area,-33.7,150.0,Natural,Australia,Asia and the Pacific
Purnululu National Park,-17.5,128.5,Natural,Australia,Asia and the Pacific
Royal Exhibition Building and Carlton Gardens,-37.80611111,144.9702778,Cultural,Australia,Asia and the Pacific
Australian Convict Sites,-33.37833333,150.9944444,Cultural,Australia,Asia and the Pacific
Ningaloo Coast,-22.5625,113.8102778,Natural,Australia,Asia and the Pacific
Budj Bim Cultural Landscape,-38.08111111,141.8852778,Cultural,Australia,Asia and the Pacific
Murujuga Cultural Landscape,-20.56502778,116.6685278,Cultural,Australia,Asia and the Pacific
Historic Centre of the City of Salzburg,47.80055556,13.04333333,Cultural,Austria,Europe and North America
Semmering Railway,47.64877778,15.82797222,Cultural,Austria,Europe and North America
Palace and Gardens of Schönbrunn,48.18666667,16.31333333,Cultural,Austria,Europe and North America
Hallstatt-Dachstein / Salzkammergut Cultural Landscape,47.55944444,13.64638889,Cultural,Austria,Europe and North America
City of Graz – Historic Centre and Schloss Eggenberg,47.07305556,15.43861111,Cultural,Austria,Europe and North America
Wachau Cultural Landscape,48.36444444,15.43416667,Cultural,Austria,Europe and North America
Historic Centre of Vienna,48.2094,16.3699,Cultural,Austria,Europe and North America
Walled City of Baku with the Shirvanshah's Palace and Maiden Tower,40.36666667,49.83333333,Cultural,Azerbaijan,Europe and North America
Gobustan Rock Art Cultural Landscape,40.125,49.375,Cultural,Azerbaijan,Europe and North America
Historic Centre of Sheki with the Khan’s Palace,41.20333333,47.1875,Cultural,Azerbaijan,Europe and North America
Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,40.7059,48.8854,Cultural,Azerbaijan,Europe and North America
Qal’at al-Bahrain – Ancient Harbour and Capital of Dilmun,26.23306,50.52722222,Cultural,Bahrain,Arab States
"Pearling, Testimony of an Island Economy",26.24128,50.61351,Cultural,Bahrain,Arab States
Dilmun Burial Mounds,26.14972222,50.51277778,Cultural,Bahrain,Arab States
Historic Mosque City of Bagerhat,22.66667,89.8,Cultural,Bangladesh,Asia and the Pacific
Ruins of the Buddhist Vihara at Paharpur,25.03333333,88.98333333,Cultural,Bangladesh,Asia and the Pacific
The Sundarbans,21.95,89.18333,Natural,Bangladesh,Asia and the Pacific
Historic Bridgetown and its Garrison,13.09666667,-59.61388889,Cultural,Barbados,Latin America and the Caribbean
Mir Castle Complex,53.45108333,26.47272222,Cultural,Belarus,Europe and North America
"Architectural, Residential and Cultural Complex of the Radziwill Family at Nesvizh",53.22278,26.69139,Cultural,Belarus,Europe and North America
Flemish Béguinages,51.03097222,4.47375,Cultural,Belgium,Europe and North America
"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",50.48111,4.13722,Cultural,Belgium,Europe and North America
"La Grand-Place, Brussels",50.84668,4.35242,Cultural,Belgium,Europe and North America
Historic Centre of Brugge,51.20891,3.22527,Cultural,Belgium,Europe and North America
Major Town Houses of the Architect Victor Horta (Brussels),50.82806,4.36223,Cultural,Belgium,Europe and North America
Neolithic Flint Mines at Spiennes (Mons),50.42011348,3.982268911,Cultural,Belgium,Europe and North America
Notre-Dame Cathedral in Tournai,50.60603,3.38926,Cultural,Belgium,Europe and North America
Plantin-Moretus House-Workshops-Museum Complex,51.21833,4.39778,Cultural,Belgium,Europe and North America
Stoclet House,50.835,4.416111111,Cultural,Belgium,Europe and North America
Major Mining Sites of Wallonia,50.43527778,3.838333333,Cultural,Belgium,Europe and North America
Belize Barrier Reef Reserve System,17.190549,-87.846213,Natural,Belize,Latin America and the Caribbean
Royal Palaces of Abomey,7.183333333,1.983333333,Cultural,Benin,Africa
City of Potosí,-19.599112,-65.749813,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean
Jesuit Missions of the Chiquitos,-16.0,-60.5,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean
Historic City of Sucre,-19.04799,-65.259592,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean
Tiwanaku: Spiritual and Political Centre of the Tiwanaku Culture,-16.555003,-68.673278,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean
Fuerte de Samaipata,-18.178323,-63.820485,Cultural,Bolivia (Plurinational State of),Latin America and the Caribbean
Noel Kempff Mercado National Park,-14.26667,-60.86667,Natural,Bolivia (Plurinational State of),Latin America and the Caribbean
Old Bridge Area of the Old City of Mostar,43.33730556,17.815,Cultural,Bosnia and Herzegovina,Europe and North America
Mehmed Paša Sokolović Bridge in Višegrad,43.78144444,19.288025,Cultural,Bosnia and Herzegovina,Europe and North America
"Vjetrenica Cave, Ravno",42.845,17.98888889,Natural,Bosnia and Herzegovina,Europe and North America
Tsodilo,-18.75,21.73333333,Cultural,Botswana,Africa
Okavango Delta,-19.28333333,22.9,Natural,Botswana,Africa
Historic Town of Ouro Preto,-20.38888889,-43.50555556,Cultural,Brazil,Latin America and the Caribbean
Historic Centre of the Town of Olinda,-8.013333333,-34.845,Cultural,Brazil,Latin America and the Caribbean
Historic Centre of Salvador de Bahia,-12.972917,-38.512981,Cultural,Brazil,Latin America and the Caribbean
Sanctuary of Bom Jesus do Congonhas,-20.508201,-43.860806,Cultural,Brazil,Latin America and the Caribbean
Iguaçu National Park,-25.44814722,-53.80014444,Natural,Brazil,Latin America and the Caribbean
Brasilia,-15.78333,-47.9,Cultural,Brazil,Latin America and the Caribbean
Serra da Capivara National Park,-8.718634,-42.652436,Cultural,Brazil,Latin America and the Caribbean
Historic Centre of São Luís,-2.530054,-44.303369,Cultural,Brazil,Latin America and the Caribbean
Historic Centre of the Town of Diamantina,-18.244776,-43.59768,Cultural,Brazil,Latin America and the Caribbean
Discovery Coast Atlantic Forest Reserves,-16.5,-39.25,Natural,Brazil,Latin America and the Caribbean
Atlantic Forest South-East Reserves,-24.16667,-48.0,Natural,Brazil,Latin America and the Caribbean
Historic Centre of the Town of Goiás,-15.934231,-50.140164,Cultural,Brazil,Latin America and the Caribbean
Central Amazon Conservation Complex,-2.333333333,-62.00833333,Natural,Brazil,Latin America and the Caribbean
Pantanal Conservation Area,-17.656,-57.359,Natural,Brazil,Latin America and the Caribbean
Brazilian Atlantic Islands: Fernando de Noronha and Atol das Rocas Reserves,-3.857944444,-32.42511111,Natural,Brazil,Latin America and the Caribbean
Cerrado Protected Areas: Chapada dos Veadeiros and Emas National Parks,-14.00569444,-47.68461111,Natural,Brazil,Latin America and the Caribbean
Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,-22.94777778,-43.29138889,Cultural,Brazil,Latin America and the Caribbean
São Francisco Square in the Town of São Cristóvão,-11.01365544,-37.20537476,Cultural,Brazil,Latin America and the Caribbean
Paraty and Ilha Grande – Culture and Biodiversity,-23.01860556,-44.68536944,Mixed,Brazil,Latin America and the Caribbean
Pampulha Modern Ensemble,-19.85194444,-43.97361111,Cultural,Brazil,Latin America and the Caribbean
Valongo Wharf Archaeological Site,-22.89711111,-43.18739444,Cultural,Brazil,Latin America and the Caribbean
Lençóis Maranhenses National Park,-2.536666667,-43.06361111,Natural,Brazil,Latin America and the Caribbean
Sítio Roberto Burle Marx,-23.02237778,-43.54622222,Cultural,Brazil,Latin America and the Caribbean
Peruaçu River Canyon,-15.075,-44.20833333,Natural,Brazil,Latin America and the Caribbean
Boyana Church,42.64463194,23.26618278,Cultural,Bulgaria,Europe and North America
Madara Rider,43.277375,27.118894,Cultural,Bulgaria,Europe and North America
Thracian Tomb of Kazanlak,42.625774,25.399172,Cultural,Bulgaria,Europe and North America
Rock-Hewn Churches of Ivanovo,43.694858,25.987893,Cultural,Bulgaria,Europe and North America
Rila Monastery,42.133298,23.340187,Cultural,Bulgaria,Europe and North America
Ancient City of Nessebar,42.65911111,27.73602778,Cultural,Bulgaria,Europe and North America
Srebarna Nature Reserve,44.11444,27.07806,Natural,Bulgaria,Europe and North America
Pirin National Park,41.74272222,23.43047222,Natural,Bulgaria,Europe and North America
Thracian Tomb of Sveshtari,43.66667,26.66667,Cultural,Bulgaria,Europe and North America
Ruins of Loropéni,10.25,-3.583333333,Cultural,Burkina Faso,Africa
Ancient Ferrous Metallurgy Sites of Burkina Faso,12.58775833,-3.328986111,Cultural,Burkina Faso,Africa
Royal Court of Tiébélé,11.08922222,-0.961861111,Cultural,Burkina Faso,Africa
"Cidade Velha, Historic Centre of Ribeira Grande",14.91513889,-23.60519444,Cultural,Cabo Verde,Africa
Angkor,13.43333333,103.8333333,Cultural,Cambodia,Asia and the Pacific
Temple of Preah Vihear,14.38833333,104.6838889,Cultural,Cambodia,Asia and the Pacific
"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",12.8725,105.0430556,Cultural,Cambodia,Asia and the Pacific
Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar,13.78305556,104.5372222,Cultural,Cambodia,Asia and the Pacific
Cambodian Memorial Sites: From centres of repression to places of peace and reflection,11.77016,104.384814,Cultural,Cambodia,Asia and the Pacific
Dja Faunal Reserve,3.125,12.983,Natural,Cameroon,Africa
Diy-Gid-Biy Cultural Landscape of the Mandara Mountains,10.90333333,13.79555556,Cultural,Cameroon,Africa
L’Anse aux Meadows National Historic Site,51.58472222,-55.55,Cultural,Canada,Europe and North America
Nahanni National Park,61.54722222,-125.5894444,Natural,Canada,Europe and North America
Dinosaur Provincial Park,50.76777778,-111.4922222,Natural,Canada,Europe and North America
S<U>G</U>ang Gwaay,52.095,-131.2202778,Cultural,Canada,Europe and North America
Head-Smashed-In Buffalo Jump,49.70840556,-113.6520528,Cultural,Canada,Europe and North America
Wood Buffalo National Park,59.35833333,-112.2933333,Natural,Canada,Europe and North America
Historic District of Old Québec,46.80944444,-71.21055556,Cultural,Canada,Europe and North America
Canadian Rocky Mountain Parks,51.42472222,-116.4797222,Natural,Canada,Europe and North America
Gros Morne National Park,49.6125,-57.53138889,Natural,Canada,Europe and North America
Miguasha National Park,48.105,-66.35305556,Natural,Canada,Europe and North America
Old Town Lunenburg,44.37611111,-64.30916667,Cultural,Canada,Europe and North America
Rideau Canal,44.99438611,-75.765125,Cultural,Canada,Europe and North America
Joggins Fossil Cliffs,45.70972222,-64.43583333,Natural,Canada,Europe and North America
Landscape of Grand Pré,45.11833333,-64.30722222,Cultural,Canada,Europe and North America
Red Bay Basque Whaling Station,51.726925,-56.42952222,Cultural,Canada,Europe and North America
Pimachiowin Aki,51.82641667,-95.41127778,Mixed,Canada,Europe and North America
Mistaken Point,46.635,-53.21111111,Natural,Canada,Europe and North America
Tr’ondëk-Klondike,64.05034722,-139.4399472,Cultural,Canada,Europe and North America
Writing-on-Stone / Áísínai’pi,49.075,-111.6333333,Cultural,Canada,Europe and North America
Anticosti,49.53861111,-63.24527778,Natural,Canada,Europe and North America
Manovo-Gounda St Floris National Park,9.0,21.5,Natural,Central African Republic,Africa
Lakes of Ounianga,19.055,20.50555556,Natural,Chad,Africa
Ennedi Massif: Natural and Cultural Landscape,17.04166667,21.86277778,Mixed,Chad,Africa
Rapa Nui National Park,-27.074403,-109.365683,Cultural,Chile,Latin America and the Caribbean
Historic Quarter of the Seaport City of Valparaíso,-33.04063889,-71.628,Cultural,Chile,Latin America and the Caribbean
Churches of Chiloé,-42.5,-73.76666667,Cultural,Chile,Latin America and the Caribbean
Humberstone and Santa Laura Saltpeter Works,-20.20582,-69.79406,Cultural,Chile,Latin America and the Caribbean
Sewell Mining Town,-34.08444444,-70.38277778,Cultural,Chile,Latin America and the Caribbean
Settlement and Artificial Mummification of the Chinchorro Culture in the Arica and Parinacota Region,-18.48196111,-70.32157222,Cultural,Chile,Latin America and the Caribbean
Mount Taishan,36.26667,117.1,Mixed,China,Asia and the Pacific
The Great Wall,40.41667,116.08333,Cultural,China,Asia and the Pacific
Imperial Palaces of the Ming and Qing Dynasties in Beijing and Shenyang,41.79416667,123.4469444,Cultural,China,Asia and the Pacific
Mogao Caves,40.13333,94.81667,Cultural,China,Asia and the Pacific
Mausoleum of the First Qin Emperor,34.381311,109.259951,Cultural,China,Asia and the Pacific
Peking Man Site at Zhoukoudian,39.689449,115.922702,Cultural,China,Asia and the Pacific
Mount Huangshan,30.145333,118.155083,Mixed,China,Asia and the Pacific
Jiuzhaigou Valley Scenic and Historic Interest Area,33.08333,103.91667,Natural,China,Asia and the Pacific
Huanglong Scenic and Historic Interest Area,32.75417,103.82222,Natural,China,Asia and the Pacific
Wulingyuan Scenic and Historic Interest Area,29.33333,110.5,Natural,China,Asia and the Pacific
"Mountain Resort and its Outlying Temples, Chengde",40.98694,117.93833,Cultural,China,Asia and the Pacific
Temple and Cemetery of Confucius and the Kong Family Mansion in Qufu,35.613215,116.994561,Cultural,China,Asia and the Pacific
Ancient Building Complex in the Wudang Mountains,32.46667,111.0,Cultural,China,Asia and the Pacific
"Historic Ensemble of the Potala Palace, Lhasa",29.65792,91.11717,Cultural,China,Asia and the Pacific
Lushan National Park,29.43333333,115.8666667,Cultural,China,Asia and the Pacific
"Mount Emei Scenic Area, including Leshan Giant Buddha Scenic Area",29.5449,103.76925,Mixed,China,Asia and the Pacific
Old Town of Lijiang,26.86667,100.23333,Cultural,China,Asia and the Pacific
Ancient City of Ping Yao,37.20139,112.15444,Cultural,China,Asia and the Pacific
Classical Gardens of Suzhou,31.31666667,120.45,Cultural,China,Asia and the Pacific
"Summer Palace, an Imperial Garden in Beijing",39.91055556,116.1411111,Cultural,China,Asia and the Pacific
Temple of Heaven: an Imperial Sacrificial Altar in Beijing,39.84555556,116.4447222,Cultural,China,Asia and the Pacific
Mount Wuyi,27.72638889,117.7252778,Mixed,China,Asia and the Pacific
Dazu Rock Carvings,29.70111,105.705,Cultural,China,Asia and the Pacific
Mount Qingcheng and the Dujiangyan Irrigation System,31.00167,103.60528,Cultural,China,Asia and the Pacific
Ancient Villages in Southern Anhui – Xidi and Hongcun,29.90444444,117.9875,Cultural,China,Asia and the Pacific
Longmen Grottoes,34.46666667,112.4666667,Cultural,China,Asia and the Pacific
Imperial Tombs of the Ming and Qing Dynasties,41.70722222,124.7938889,Cultural,China,Asia and the Pacific
Yungang Grottoes,40.10972,113.12222,Cultural,China,Asia and the Pacific
Three Parallel Rivers of Yunnan Protected Areas,27.895,98.40638889,Natural,China,Asia and the Pacific
Historic Centre of Macao,22.19129194,113.5364611,Cultural,China,Asia and the Pacific
Cultural Landscape of Honghe Hani Rice Terraces,23.09327778,102.7799806,Cultural,China,Asia and the Pacific
Kaiping Diaolou and Villages,22.28551944,112.5658611,Cultural,China,Asia and the Pacific
Fujian <em>Tulou</em>,25.02305556,117.6858333,Cultural,China,Asia and the Pacific
Yin Xu,36.12666667,114.3138889,Cultural,China,Asia and the Pacific
Capital Cities and Tombs of the Ancient Koguryo Kingdom,41.15694444,126.1872222,Cultural,China,Asia and the Pacific
"Sichuan Giant Panda Sanctuaries - Wolong, Mt Siguniang and Jiajin Mountains",30.83333333,103.0,Natural,China,Asia and the Pacific
South China Karst,24.92333333,110.3544444,Natural,China,Asia and the Pacific
Mount Wutai,39.03055556,113.5633333,Cultural,China,Asia and the Pacific
Mount Sanqingshan National Park,28.91583333,118.0644444,Natural,China,Asia and the Pacific
Historic Monuments of Dengfeng in “The Centre of Heaven and Earth”,34.45874722,113.0677194,Cultural,China,Asia and the Pacific
West Lake Cultural Landscape of Hangzhou,30.2375,120.1408333,Cultural,China,Asia and the Pacific
China Danxia,28.42194444,106.0425,Natural,China,Asia and the Pacific
Chengjiang Fossil Site,24.66888889,102.9772222,Natural,China,Asia and the Pacific
Site of Xanadu,42.358,116.1851278,Cultural,China,Asia and the Pacific
Xinjiang Tianshan,41.96833333,80.35416667,Natural,China,Asia and the Pacific
The Grand Canal,34.69388889,112.4683333,Cultural,China,Asia and the Pacific
Tusi Sites,28.99861111,109.9669444,Cultural,China,Asia and the Pacific
Zuojiang Huashan Rock Art Cultural Landscape,22.25555556,107.0230556,Cultural,China,Asia and the Pacific
Hubei Shennongjia,31.46972222,110.2077778,Natural,China,Asia and the Pacific
Qinghai Hoh Xil,35.38027778,92.43916667,Natural,China,Asia and the Pacific
"Kulangsu, a Historic International Settlement",24.4475,118.0619444,Cultural,China,Asia and the Pacific
Fanjingshan,27.89555556,108.68,Natural,China,Asia and the Pacific
Quanzhou: Emporium of the World in Song-Yuan China,24.71027778,118.4441667,Cultural,China,Asia and the Pacific
Archaeological Ruins of Liangzhu City,30.39555556,119.9908333,Cultural,China,Asia and the Pacific
Migratory Bird Sanctuaries along the Coast of Yellow Sea-Bohai Gulf of China,31.51291667,121.9993889,Natural,China,Asia and the Pacific
Badain Jaran Desert - Towers of Sand and Lakes,39.88972222,102.2894444,Natural,China,Asia and the Pacific
Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu’er,22.18416667,100.0075,Cultural,China,Asia and the Pacific
Beijing Central Axis: A Building Ensemble Exhibiting the Ideal Order of the Chinese Capital,39.90722222,116.3913889,Cultural,China,Asia and the Pacific
Xixia Imperial Tombs,38.41583333,105.9711111,Cultural,China,Asia and the Pacific
"Port, Fortresses and Group of Monuments, Cartagena",10.41666667,-75.53333333,Cultural,Colombia,Latin America and the Caribbean
Los Katíos National Park,7.803975,-77.146271,Natural,Colombia,Latin America and the Caribbean
Historic Centre of Santa Cruz de Mompox,9.240492,-74.423084,Cultural,Colombia,Latin America and the Caribbean
National Archeological Park of Tierradentro,2.583333333,-76.03333333,Cultural,Colombia,Latin America and the Caribbean
San Agustín Archaeological Park,1.916666667,-76.23333333,Cultural,Colombia,Latin America and the Caribbean
Coffee Cultural Landscape of Colombia,4.889476,-75.773082,Cultural,Colombia,Latin America and the Caribbean
Chiribiquete National Park – “The Maloca of the Jaguar”,0.525277778,-72.79722222,Mixed,Colombia,Latin America and the Caribbean
Malpelo Fauna and Flora Sanctuary,4.003344,-81.607572,Natural,Colombia,Latin America and the Caribbean
Forest Massif of Odzala-Kokoua,1.335555556,14.86027778,Natural,Congo,Africa
Cocos Island National Park,5.533333333,-87.06666667,Natural,Costa Rica,Latin America and the Caribbean
Area de Conservación Guanacaste,10.85,-85.61666667,Natural,Costa Rica,Latin America and the Caribbean
Precolumbian Chiefdom Settlements with Stone Spheres of the Diquís,8.938453,-83.502539,Cultural,Costa Rica,Latin America and the Caribbean
Taï National Park,5.648888889,-7.095277778,Natural,Côte d'Ivoire,Africa
Comoé National Park,9.0,-4.0,Natural,Côte d'Ivoire,Africa
Historic Town of Grand-Bassam,5.195833333,-3.736388889,Cultural,Côte d'Ivoire,Africa
Sudanese style mosques in northern Côte d’Ivoire,10.49031667,-6.410166667,Cultural,Côte d'Ivoire,Africa
Old City of Dubrovnik,42.64142111,18.10886111,Cultural,Croatia,Europe and North America
Historical Complex of Split with the Palace of Diocletian,43.50888889,16.43916667,Cultural,Croatia,Europe and North America
Plitvice Lakes National Park,44.87778,15.61444,Natural,Croatia,Europe and North America
Episcopal Complex of the Euphrasian Basilica in the Historic Centre of Poreč,45.22858333,13.59333333,Cultural,Croatia,Europe and North America
Historic City of Trogir,43.51708333,16.25136111,Cultural,Croatia,Europe and North America
The Cathedral of St James in Šibenik,43.73629,15.89038,Cultural,Croatia,Europe and North America
Stari Grad Plain,43.18166667,16.63861111,Cultural,Croatia,Europe and North America
Old Havana and its Fortification System,23.13333333,-82.35,Cultural,Cuba,Latin America and the Caribbean
Trinidad and the Valley de los Ingenios,21.80305556,-79.98444444,Cultural,Cuba,Latin America and the Caribbean
Alejandro de Humboldt National Park,20.45,-75.0,Natural,Cuba,Latin America and the Caribbean
Viñales Valley,22.61667,-83.71667,Cultural,Cuba,Latin America and the Caribbean
"San Pedro de la Roca Castle, Santiago de Cuba",19.968446,-75.870441,Cultural,Cuba,Latin America and the Caribbean
Desembarco del Granma National Park,19.88333,-77.63333,Natural,Cuba,Latin America and the Caribbean
Archaeological Landscape of the First Coffee Plantations in the South-East of Cuba,20.03,-75.39138889,Cultural,Cuba,Latin America and the Caribbean
Urban Historic Centre of Cienfuegos,22.145887,-80.452183,Cultural,Cuba,Latin America and the Caribbean
Historic Centre of Camagüey,21.37861111,-77.91861111,Cultural,Cuba,Latin America and the Caribbean
Paphos,34.75833,32.40556,Cultural,Cyprus,Europe and North America
Painted Churches in the Troodos Region,34.92027778,33.09583333,Cultural,Cyprus,Europe and North America
Choirokoitia,34.79674067,33.34394315,Cultural,Cyprus,Europe and North America
Historic Centre of Prague,50.08972,14.41944,Cultural,Czechia,Europe and North America
Historic Centre of Český Krumlov,48.81069444,14.31502778,Cultural,Czechia,Europe and North America
Historic Centre of Telč,49.18413889,15.45397222,Cultural,Czechia,Europe and North America
Pilgrimage Church of St John of Nepomuk at Zelená Hora,49.5802,15.94205833,Cultural,Czechia,Europe and North America
Kutná Hora: Historical Town Centre with the Church of St Barbara and the Cathedral of Our Lady at Sedlec,49.95,15.26666667,Cultural,Czechia,Europe and North America
Lednice-Valtice Cultural Landscape,48.77583,16.775,Cultural,Czechia,Europe and North America
Holy Trinity Column in Olomouc,49.59393611,17.25045833,Cultural,Czechia,Europe and North America
Gardens and Castle at Kroměříž,49.3,17.37722222,Cultural,Czechia,Europe and North America
Holašovice Historic Village,48.96963889,14.27261111,Cultural,Czechia,Europe and North America
Litomyšl Castle,49.87361,16.31444,Cultural,Czechia,Europe and North America
Tugendhat Villa in Brno,49.20718333,16.61605556,Cultural,Czechia,Europe and North America
Jewish Quarter and St Procopius' Basilica in Třebíč,49.21722222,15.87888889,Cultural,Czechia,Europe and North America
Žatec and the Landscape of Saaz Hops,50.32027778,13.62,Cultural,Czechia,Europe and North America
Landscape for Breeding and Training of Ceremonial Carriage Horses at Kladruby nad Labem,50.05665,15.48425833,Cultural,Czechia,Europe and North America
Complex of Koguryo Tombs,38.86305556,125.415,Cultural,Democratic People's Republic of Korea,Asia and the Pacific
Historic Monuments and Sites in Kaesong,37.98166667,126.5080556,Cultural,Democratic People's Republic of Korea,Asia and the Pacific
Mount Kumgang – Diamond Mountain from the Sea,38.66027778,128.1375,Mixed,Democratic People's Republic of Korea,Asia and the Pacific
Virunga National Park,0.916666667,29.16666667,Natural,Democratic Republic of the Congo,Africa
Garamba National Park,4.0,29.25,Natural,Democratic Republic of the Congo,Africa
Kahuzi-Biega National Park,-2.334053,28.180743,Natural,Democratic Republic of the Congo,Africa
Salonga National Park,-2.0,21.0,Natural,Democratic Republic of the Congo,Africa
Okapi Wildlife Reserve,2.0,28.5,Natural,Democratic Republic of the Congo,Africa
Roskilde Cathedral,55.64266541,12.07989985,Cultural,Denmark,Europe and North America
Kronborg Castle,56.03889,12.62083333,Cultural,Denmark,Europe and North America
"Jelling Mounds, Runic Stones and Church",55.75638889,9.42,Cultural,Denmark,Europe and North America
Ilulissat Icefjord,69.13333333,-49.5,Natural,Denmark,Europe and North America
Stevns Klint,55.26722222,12.42333333,Natural,Denmark,Europe and North America
The par force hunting landscape in North Zealand,55.91361111,12.35777778,Cultural,Denmark,Europe and North America
Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap,61.16444444,-45.59805556,Cultural,Denmark,Europe and North America
Aasivissuit – Nipisat. Inuit Hunting Ground between Ice and Sea,67.06393056,-51.43320556,Cultural,Denmark,Europe and North America
Viking-Age Ring Fortresses,56.99527778,9.254722222,Cultural,Denmark,Europe and North America
Møns Klint,54.96777778,12.55027778,Natural,Denmark,Europe and North America
Morne Trois Pitons National Park,15.331113,-61.30661,Natural,Dominica,Latin America and the Caribbean
Colonial City of Santo Domingo,18.472394,-69.885841,Cultural,Dominican Republic,Latin America and the Caribbean
Galápagos Islands,-0.68986,-90.501319,Natural,Ecuador,Latin America and the Caribbean
City of Quito,-0.22,-78.51208333,Cultural,Ecuador,Latin America and the Caribbean
Sangay National Park,-1.83333,-78.33333,Natural,Ecuador,Latin America and the Caribbean
Historic Centre of Santa Ana de los Ríos de Cuenca,-2.897447,-79.004382,Cultural,Ecuador,Latin America and the Caribbean
Memphis and its Necropolis – the Pyramid Fields from Giza to Dahshur,29.97604,31.13041,Cultural,Egypt,Arab States
Ancient Thebes with its Necropolis,25.73333,32.6,Cultural,Egypt,Arab States
